Entity,Code,Year,Homosexual activity (historical)
Bangladesh,BGD,1972,"Illegal, prison or other penalty"
Bangladesh,BGD,1973,"Illegal, prison or other penalty"
Bangladesh,BGD,1974,"Illegal, prison or other penalty"
Bangladesh,BGD,1975,"Illegal, prison or other penalty"
Bangladesh,BGD,1976,"Illegal, prison or other penalty"
Bangladesh,BGD,1977,"Illegal, prison or other penalty"
Bangladesh,BGD,1978,"Illegal, prison or other penalty"
Bangladesh,BGD,1979,"Illegal, prison or other penalty"
Bangladesh,BGD,1980,"Illegal, prison or other penalty"
Bangladesh,BGD,1981,"Illegal, prison or other penalty"
Bangladesh,BGD,1982,"Illegal, prison or other penalty"
Bangladesh,BGD,1983,"Illegal, prison or other penalty"
Bangladesh,BGD,1984,"Illegal, prison or other penalty"
Bangladesh,BGD,1985,"Illegal, prison or other penalty"
Bangladesh,BGD,1986,"Illegal, prison or other penalty"
Bangladesh,BGD,1987,"Illegal, prison or other penalty"
Bangladesh,BGD,1988,"Illegal, prison or other penalty"
Bangladesh,BGD,1989,"Illegal, prison or other penalty"
Bangladesh,BGD,1990,"Illegal, prison or other penalty"
Bangladesh,BGD,1991,"Illegal, prison or other penalty"
Bangladesh,BGD,1992,"Illegal, prison or other penalty"
Bangladesh,BGD,1993,"Illegal, prison or other penalty"
Bangladesh,BGD,1994,"Illegal, prison or other penalty"
Bangladesh,BGD,1995,"Illegal, prison or other penalty"
Bangladesh,BGD,1996,"Illegal, prison or other penalty"
Bangladesh,BGD,1997,"Illegal, prison or other penalty"
Bangladesh,BGD,1998,"Illegal, prison or other penalty"
Bangladesh,BGD,1999,"Illegal, prison or other penalty"
Bangladesh,BGD,2000,"Illegal, prison or other penalty"
Bangladesh,BGD,2001,"Illegal, prison or other penalty"
Bangladesh,BGD,2002,"Illegal, prison or other penalty"
Bangladesh,BGD,2003,"Illegal, prison or other penalty"
Bangladesh,BGD,2004,"Illegal, prison or other penalty"
Bangladesh,BGD,2005,"Illegal, prison or other penalty"
Bangladesh,BGD,2006,"Illegal, prison or other penalty"
Bangladesh,BGD,2007,"Illegal, prison or other penalty"
